"","EvaluatorID","SubjectID","Relationship","ResponseID","StartDate","EndDate","Comm_scale","DM_scale","Dipl_scale","EI_scale","Infl_scale","Cult_scale","TW_scale","Giver_1","Giver_2","Giver_5","Giver_3","Giver_10","Matcher_1","Matcher_2","Matcher_3","Matcher_4","Taker_3","Taker_4","Taker_6","Taker_8","GritPas_22","GritPas_2","GritPas_4","GritPas_23","GritPas_26","GritPas_28","GritPas_27","GritPer_13","GritPer_14","GritPer_18","GritPer_19","GritPer_20","HumRec_13","HumMot_5","HumRec_10","HumMot_13","HumMot_6","HumRec_14","HumRec_12","HumMot_4","HumMot_9","HumRec_9","HumExp_1","HumExp_2","HumExp_3","HumExp_4","HumExp_5","HumExp_6","HumExp_7","HumExp_8","HumExp_9","HumExp_10","Comm_1","Comm_2","Comm_3","Comm_4","Comm_5","Comm_6","Comm_7","Comm_8","Comm_9","Comm_10","Comm_11","Comm_12","Comm_13","Comm_14","Cult_1","Cult_2","Cult_3","Cult_4","Cult_5","Cult_6","Cult_7","Cult_8","Cult_9","Cult_10","Cult_11","Dipl_1","Dipl_2","Dipl_3","Dipl_4","Dipl_5","Dipl_6","Dipl_7","Dipl_8","Dipl_9","Dipl_10","Dipl_11","Dipl_12","EI_1","EI_2","EI_3","EI_4","EI_5","EI_6","EI_7","EI_8","EI_9","EI_10","EI_11","DM_1","DM_2","DM_3","DM_4","DM_5","DM_6","DM_7","DM_8","DM_9","DM_10","DM_11","DM_12","DM_13","DM_14","Infl_1","Infl_2","Infl_3","Infl_4","Infl_5","Infl_6","Infl_7","Infl_8","Infl_9","TW_1","TW_2","TW_3","TW_4","TW_5","TW_6","TW_7","TW_8","TW_9","TW_10","TW_11","TW_12","TW_13","TW_14","TW_15","TW_16","TW_17","TW_18","TW_19","Perf_1","Perf_2","Perf_3","Perf_4","Perf_5","year","class","GritPer_scale","GritPas_scale","Giver_scale","Matcher_scale","Taker_scale","HumMot_scale","HumRec_scale","HumExp_scale","avg_perf","self_dummy","year_2019","year_2020","class_2021","class_2022","n_raters"
"11","P_2ta0nuwzdoQlREp","P_00zCkABnbh7rGa9","Fellow Student","R_1DLRDFZhtiGGdQa","9/13/20 9:14","9/13/20 21:13",5.727272727,5.857142857,6.2,6,6,NA,6.285714286,5,4,6,3,6,6,5,4,3,3,3,3,1,6,3,5,3,3,2,3,6,5,6,6,5,4,5,4,5,6,3,6,7,6,4,6,6,4,6,6,6,4,4,4,5,5,5,7,6,6,5,6,5,6,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,NA,6,6,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,6,5,6,7,6,5,6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,6,6,NA,NA,5,NA,6,6,NA,7,NA,7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,80,90,79,82,"2020","2021",5.6,3.57142857142857,4.8,4.5,2.5,5.8,4.2,5.1,84.6,0,0,1,1,0,9
"12","P_01zaOWTdoLgqtmZ","P_01zaOWTdoLgqtmZ","Self","R_1LO8KDGCyBHEURc","9/24/20 9:34","9/24/20 9:42",5.818181818,5.125,3.833333333,5.571428571,5.833333333,6,5.5,7,7,7,6,3,5,7,6,2,5,3,5,3,6,5,4,2,6,3,4,7,5,3,7,5,5,7,7,5,7,7,7,7,7,5,5,7,7,7,7,7,7,7,7,7,5,6,5,5,7,7,7,6,5,5,6,NA,NA,NA,6,NA,NA,NA,7,5,NA,NA,NA,NA,NA,4,5,6,2,5,1,NA,NA,NA,NA,NA,NA,7,7,3,5,5,7,5,NA,NA,NA,NA,6,3,5,7,4,5,4,7,NA,NA,NA,NA,NA,NA,4,5,7,NA,6,7,6,NA,NA,4,6,7,5,5,6,5,7,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,95,85,95,95,"2020","2021",5.4,4.28571428571429,6,5,4,6.6,6.2,6.8,93,1,0,1,1,0,6
"13","P_80KOWwB6gb3b6OF","P_01zaOWTdoLgqtmZ","Fellow Student","R_1r6LvMYSncrC5OX","9/29/20 13:10","9/29/20 13:38",5.909090909,6.375,6,5.142857143,5.285714286,5.8,5.8,5,5,6,5,4,4,5,6,6,4,3,4,3,6,4,6,4,5,4,5,5,5,6,6,5,6,6,4,6,5,5,6,5,5,6,4,6,6,6,6,6,4,6,6,4,5,5,5,6,7,6,6,6,6,6,7,NA,NA,NA,5,6,6,NA,6,6,NA,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,6,5,4,5,5,6,5,NA,NA,NA,NA,6,6,6,6,7,7,6,7,NA,NA,NA,NA,NA,NA,5,5,5,4,5,7,6,NA,NA,5,6,6,6,6,6,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,85,80,90,90,"2020","2021",5.4,4.85714285714286,5,5.25,3.5,5.4,5.4,5.4,88,0,0,1,1,0,6
"14","P_0ewj3DDrOMN3z1j","P_01zaOWTdoLgqtmZ","Fellow Student","R_6G0wQ3LfjF290it","9/29/20 14:49","9/29/20 15:27",6.363636364,6.25,6.166666667,5.714285714,5.714285714,6,6.3,6,6,6,6,6,2,4,5,2,3,3,4,2,5,4,6,3,5,3,5,7,6,6,5,6,6,5,6,6,5,6,6,6,6,6,7,7,7,6,6,6,6,6,5,5,5,6,5,6,7,7,7,7,7,7,6,NA,NA,NA,5,6,5,7,6,7,NA,NA,NA,NA,NA,6,7,5,6,7,6,NA,NA,NA,NA,NA,NA,7,7,4,5,6,7,4,NA,NA,NA,NA,6,6,7,6,7,6,7,5,NA,NA,NA,NA,NA,NA,6,6,7,6,3,6,6,NA,NA,5,5,7,7,7,6,7,7,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,92,85,85,95,"2020","2021",6,4.42857142857143,6,3.25,3,5.6,6,6.1,89.8,0,0,1,1,0,6
"15","P_6ssgCNCYkvGGUiF","P_01zaOWTdoLgqtmZ","Fellow Student","R_1o75p3a2hCym7UY","9/22/20 9:46","9/22/20 11:13",4.375,5.142857143,NA,5.75,5,NA,4.777777778,6,6,5,5,5,4,4,4,3,5,3,4,3,5,2,6,3,3,3,4,5,3,5,5,5,4,5,5,5,5,6,4,6,5,5,4,5,4,5,5,5,5,5,5,4,4,NA,5,5,NA,3,5,4,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,NA,NA,5,NA,NA,NA,NA,4,6,6,6,NA,5,6,3,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,5,5,NA,NA,5,NA,6,4,5,3,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,80,60,70,"2020","2021",4.6,3.71428571428571,5.4,3.75,3.75,5.2,4.8,4.7,66,0,0,1,1,0,6
"16","P_9v4a6MZ2T6kuZ2l","P_01zaOWTdoLgqtmZ","Fellow Student","R_1pYB3vuww8wuN78","10/5/20 0:41","10/5/20 0:45",2,NA,4,NA,NA,NA,NA,4,4,4,5,4,3,6,7,2,4,4,5,2,6,2,2,4,6,4,2,6,4,4,5,4,4,4,4,4,6,5,6,4,5,3,6,6,6,6,6,5,4,6,4,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,72,83,84,"2020","2021",4.6,3.71428571428571,4.2,4.5,3.75,4.6,4.4,5.3,79.8,0,0,1,1,0,6
"17","P_5q0eFkZFWvfmrRP","P_01zaOWTdoLgqtmZ","Fellow Student","R_w7uv40e5Qu1vYrv","9/23/20 9:19","9/23/20 9:42",6,6,6,4.857142857,5.714285714,5.666666667,5.3,5,5,6,5,5,3,5,4,2,3,3,2,3,6,4,4,5,3,2,6,5,5,5,6,5,6,6,5,6,6,5,6,5,7,7,5,5,6,6,3,6,5,6,6,6,6,6,5,6,6,7,7,6,6,6,5,NA,NA,NA,6,6,4,6,6,6,NA,NA,NA,NA,NA,6,6,6,5,7,6,NA,NA,NA,NA,NA,NA,5,5,5,4,4,6,5,NA,NA,NA,NA,5,6,6,7,6,5,7,6,NA,NA,NA,NA,NA,NA,6,6,7,6,3,7,5,NA,NA,6,2,5,6,5,6,7,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,54,60,74,68,"2020","2021",5.2,4.28571428571429,5.2,3.5,2.75,6,5.8,5.4,65.6,0,0,1,1,0,6
"18","P_9QRZRVowZUz3m0B","P_01zaOWTdoLgqtmZ","Fellow Student","R_2pLY9bqviju0y3e","10/2/20 16:12","10/2/20 16:26",5.545454545,6,6,4.142857143,5.857142857,6,6.1,5,5,5,5,3,2,6,6,3,2,2,2,2,5,4,6,2,3,2,4,6,5,5,5,5,5,6,5,7,6,5,5,6,5,1,6,6,5,6,6,7,5,7,5,5,6,6,6,5,6,4,5,6,5,6,6,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,7,6,6,6,6,5,NA,NA,NA,NA,NA,NA,3,4,3,5,5,5,4,NA,NA,NA,NA,6,6,7,6,5,6,6,6,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,NA,NA,5,5,6,7,6,6,6,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,40,80,60,70,"2020","2021",5.2,3.71428571428571,4.6,4.25,2,6,4.2,5.8,63,0,0,1,1,0,6
"19","P_02jQyPR45vjlGKx","P_02jQyPR45vjlGKx","Self","R_1mzyXIV3svaGw2K","9/28/20 21:51","9/28/20 22:01",5.727272727,5.125,5.5,4.857142857,5.142857143,4.833333333,5.6,6,5,5,4,4,3,6,3,2,3,4,5,4,3,3,3,3,5,2,5,7,5,5,5,4,5,3,3,5,4,5,4,6,7,5,3,3,4,5,5,5,5,5,6,2,5,6,6,5,6,6,5,6,6,6,6,NA,NA,NA,5,4,5,5,5,5,NA,NA,NA,NA,NA,6,6,6,5,5,5,NA,NA,NA,NA,NA,NA,5,6,3,5,5,5,5,NA,NA,NA,NA,6,5,5,6,4,5,5,5,NA,NA,NA,NA,NA,NA,5,5,5,5,4,6,6,NA,NA,6,3,7,5,5,7,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,80,85,80,80,"2020","2021",5.2,3.42857142857143,4.8,3.5,4,5,4.4,4.3,82,1,0,1,1,0,8
"20","P_8HrvFKQY2RykH3f","P_02jQyPR45vjlGKx","Learning Teammate","R_bgfAHmNTOrRmDeN","9/18/20 5:27","9/18/20 5:44",7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,7,7,7,7,7,7,NA,NA,NA,NA,NA,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,NA,NA,NA,NA,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,NA,NA,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,90,90,90,"2020","2021",6,6,6,6,6,6,6,6,90,0,0,1,1,0,8
"21","P_9GfFFkO4uYabqO9","P_02jQyPR45vjlGKx","Learning Teammate","R_2Xcbjlt6GTJhST8","9/28/20 19:20","9/28/20 19:55",6,5.875,4,3.333333333,4.5,4.5,5,4,3,4,4,4,4,4,4,4,4,4,5,4,5,4,4,3,3,5,5,7,5,4,7,5,5,4,4,5,6,5,7,6,7,5,5,5,6,4,5,6,5,4,4,5,NA,5,5,7,7,NA,7,7,6,6,4,NA,NA,NA,6,5,3,3,3,7,NA,NA,NA,NA,NA,3,5,6,4,3,3,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,7,3,NA,NA,NA,NA,7,5,7,7,5,7,3,6,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,7,6,NA,NA,4,7,5,7,2,3,4,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,71,95,95,"2020","2021",5.6,4.14285714285714,3.8,4,4.25,5.6,5.2,4.9,88.2,0,0,1,1,0,8
"22","P_cI0dNhk7matuwUB","P_02jQyPR45vjlGKx","Learning Teammate","R_12swmrRbWmmeiK2","9/23/20 14:50","9/23/20 15:09",6.727272727,6.625,6.333333333,6.571428571,6.571428571,6.5,6.5,7,5,6,6,6,2,4,6,6,4,5,2,3,6,4,6,4,4,4,7,6,3,6,7,4,4,6,6,6,7,6,6,6,6,7,4,6,3,6,4,6,6,6,6,4,6,6,7,7,7,7,7,7,6,7,7,NA,NA,NA,7,6,7,6,7,6,NA,NA,NA,NA,NA,6,7,7,6,6,6,NA,NA,NA,NA,NA,NA,7,7,6,7,6,7,6,NA,NA,NA,NA,6,6,7,7,7,6,7,7,NA,NA,NA,NA,NA,NA,6,6,6,7,7,7,7,NA,NA,6,6,7,7,6,6,7,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,61,89,72,79,"2020","2021",5.2,5,6,4.5,3.5,6.2,5.8,5.1,76.6,0,0,1,1,0,8
"23","P_9NeR4eSRpPSQa2h","P_02jQyPR45vjlGKx","Fellow Student","R_2SlyfHvEAG8Swaq","9/20/20 18:58","9/20/20 19:27",5.272727273,6,4.333333333,4.5,4,5.166666667,5.6,6,4,4,5,4,2,4,4,2,4,4,3,2,4,4,4,4,4,4,4,6,4,6,4,6,4,5,4,4,4,5,5,4,4,4,6,4,6,6,6,6,4,4,4,4,5,5,6,5,5,6,5,5,5,6,5,NA,NA,NA,6,5,4,4,6,6,NA,NA,NA,NA,NA,5,4,4,5,5,3,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,4,4,NA,NA,NA,NA,6,6,5,7,6,6,6,6,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,4,NA,NA,NA,5,6,5,6,4,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,60,70,70,60,"2020","2021",5.2,4,4.6,3,3.25,4.2,4.4,5,66,0,0,1,1,0,8
"24","P_eVZH2KY7urMJoGh","P_02jQyPR45vjlGKx","Fellow Student","R_116BJDuZmQiA6Mb","9/28/20 21:09","9/28/20 21:22",5.9,5.375,5.333333333,5.833333333,5.285714286,5,5.8,6,6,6,6,5,3,6,5,2,3,3,2,3,5,5,4,3,4,3,4,6,5,5,5,5,5,5,5,6,6,6,5,5,5,5,3,4,5,5,6,6,4,4,5,4,6,6,7,5,NA,4,6,6,6,7,6,NA,NA,NA,5,6,5,3,5,6,NA,NA,NA,NA,NA,5,6,5,6,4,6,NA,NA,NA,NA,NA,NA,5,6,NA,6,5,6,7,NA,NA,NA,NA,6,4,6,5,6,6,5,5,NA,NA,NA,NA,NA,NA,6,5,6,5,4,5,6,NA,NA,6,6,6,6,5,6,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,56,93,66,75,"2020","2021",5.2,4,5.8,4,2.75,5.4,5.2,4.6,72.2,0,0,1,1,0,8
